Ref,Val,Package,PosX,PosY,Rot,Side
"C101","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-8.2500,71.7500,-90.0000,top
"C102","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-1.0000,62.5000,-90.0000,bottom
"C103","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",7.0000,56.5000,0.0000,bottom
"C104","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",8.0000,69.0000,90.0000,bottom
"C105","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-4.7500,69.0000,90.0000,bottom
"C201","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-18.2500,73.2500,90.0000,bottom
"C202","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-24.2620,70.2500,0.0000,bottom
"C301","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",17.5000,6.4000,90.0000,top
"C302","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",14.0000,12.5000,180.0000,top
"C303","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-25.0000,-3.5000,0.0000,bottom
"C304","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",4.7500,16.7500,-90.0000,bottom
"C307","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",37.0000,61.7500,-90.0000,bottom
"C308","47n","C_Rect_L11.0mm_W4.2mm_P10.00mm_MKT",47.8000,53.0000,180.0000,top
"C309","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",37.0000,56.5000,-90.0000,bottom
"C310","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",18.2500,14.5000,180.0000,top
"C401","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-29.0000,4.0000,0.0000,bottom
"C402","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",4.0000,9.2500,-90.0000,bottom
"C403","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-8.2500,10.5000,90.0000,bottom
"C404","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-3.5000,32.2500,90.0000,bottom
"C405","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",1.8375,26.0000,0.0000,bottom
"C406","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",1.8375,21.5000,0.0000,bottom
"C501","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-22.7580,22.6360,180.0000,bottom
"C502","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-22.2500,21.1120,180.0000,bottom
"C503","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-22.2500,7.0000,0.0000,bottom
"C504","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-18.7500,7.7500,0.0000,bottom
"C505","22p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-20.2180,23.6520,90.0000,bottom
"C506","22p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-13.1060,22.6360,90.0000,bottom
"C601","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-11.1420,68.1110,0.0000,top
"C602","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-21.2620,69.0000,90.0000,top
"C603","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-9.6570,59.7850,90.0000,bottom
"C604","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-23.5000,59.0000,90.0000,bottom
"D301","B360","D_SMA",20.5000,8.2500,90.0000,top
"D302","B360","D_SMA",12.7500,8.0000,90.0000,bottom
"D303","20 V","D_SOD-123",57.5000,58.7500,180.0000,bottom
"D304","S15M","D_SMC_Handsoldering",47.2500,57.2500,180.0000,bottom
"D305","1SMA5953B","D_SMA",34.8000,61.2500,-90.0000,top
"D306","1N4148","D_SOD-123",17.2500,-3.2500,-90.0000,top
"D307","1N4148","D_SOD-123",-6.7500,-3.2500,-90.0000,top
"D308","1N4148","D_SOD-123",41.2500,-3.2500,-90.0000,top
"D309","1SMA5953B","D_SMA",34.8000,54.0000,-90.0000,top
"D310","20 V","D_SOD-123",33.5000,48.0000,90.0000,bottom
"D311","20 V","D_SOD-123",13.5000,-4.2500,180.0000,top
"D312","20 V","D_SOD-123",-10.5000,-4.2500,180.0000,top
"D313","20 V","D_SOD-123",37.5000,-4.2500,180.0000,top
"D401","BAV199","SOT-23",0.2500,10.2500,180.0000,bottom
"D402","BAV199","SOT-23",0.2500,14.2500,180.0000,bottom
"D403","BAV199","SOT-23",-29.2500,-4.5000,0.0000,bottom
"D404","BAV199","SOT-23",5.0000,36.0000,180.0000,bottom
"D405","BAV199","SOT-23",5.0000,32.0000,180.0000,bottom
"D406","BAV199","SOT-23",-1.9125,26.0000,0.0000,bottom
"D407","BAV199","SOT-23",-1.9125,21.5000,0.0000,bottom
"D501","LED","LED_D3.0mm",-34.7500,33.2687,0.0000,top
"D502","LED","LED_PLCC-2_3x2mm_KA",-33.5000,29.5000,0.0000,top
"HS301","Heatsink","Heatsink_26_16_40",14.7500,-15.5000,0.0000,top
"HS302","Heatsink","Heatsink_26_16_40",-9.2500,-15.5000,0.0000,top
"HS303","Heatsink","Heatsink_26_16_40",38.7500,-15.5000,0.0000,top
"J301","10146581-060_M","Amphenol_Minitek_10146581-060_mod_0",27.2500,75.5000,90.0000,top
"J302","T44007","T44007",54.0000,22.5000,90.0000,top
"J303","T44007","T44007",34.0000,22.5000,-90.0000,top
"J304","10146581-060_M","Amphenol_Minitek_10146581-060_mod_0",58.0000,38.7500,90.0000,top
"J305","T44007","T44007",34.0000,7.0000,-90.0000,top
"J306","T44007","T44007",54.0000,7.0000,-90.0000,top
"J501","HX JN1.27-2x5P ZZ H4.9","HX JN1.27-2x5P ZZ H4.9",-28.7500,39.0000,-90.0000,top
"J502","Header","PinHeader_1x02_P2.54mm_Vertical",-34.2500,16.5000,180.0000,top
"J701","ZHOURI DC3","IDC-Header_2x05_P2.54mm_Vertical",-30.5000,54.1700,180.0000,top
"J801","Molex 430452427","Molex_Micro-Fit_3.0_43045-2412_2x12_P3.00mm_Vertical",25.0000,33.2500,90.0000,top
"J901","Header","PinHeader_1x03_P2.54mm_Vertical",-34.2500,10.2500,0.0000,top
"J1001","Header","PinHeader_1x03_P2.54mm_Vertical",-28.7620,46.5000,-90.0000,top
"PS101","HLK-5M24","Hilink_no_courtyard",0.9330,39.3080,180.0000,top
"PS201","HLK-5M05","Hilink_no_courtyard",0.9880,65.6620,180.0000,top
"PT301","ZS1052-S_HT","ZS1052-S_HT",52.4500,46.2500,0.0000,top
"Q301","MPF3N150","To-220_staggered_2",57.4992,64.5556,180.0000,top
"Q302","IXYH55N120","TO-247_small_p1",38.0000,36.8000,90.0000,top
"Q303","IXYH55N120","TO-247_mixed_pads_vert",38.7500,-12.2500,180.0000,top
"Q304","IXYH55N120","TO-247_mixed_pads_vert",-9.2500,-12.2500,180.0000,top
"Q305","IXYH55N120","TO-247_mixed_pads_vert",14.7500,-12.2500,180.0000,top
"R101","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",2.5000,56.5000,180.0000,bottom
"R102","6k8","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-1.0000,59.0000,90.0000,bottom
"R103","4k7","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",4.2500,74.7500,0.0000,bottom
"R104","6k2","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",7.7500,74.7500,0.0000,bottom
"R106","0","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",7.7500,65.7500,180.0000,bottom
"R301","510k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-23.7500,-16.0000,-90.0000,top
